,words,label
1394,(,0
1395,narcissus,1
1396,jonquila,0
1397,),0
1399,and,0
1400,narcissus,1
1401,(,0
1402,narcissus,1
1403,odor,1
1404,at,0
1405,a,0
1406,),0
1408,are,0
1409,two,0
1410,bulbous,0
1411,plants,0
1412,which,0
1413,are,0
1414,also,0
1415,cultivated,0
1416,for,0
1417,perfumery,0
1418,purposes,0
1420,but,0
1421,in,0
1422,much,0
1423,smaller,0
1424,quantities,0
1425,than,0
1426,any,0
1427,of,0
1428,those,0
1429,already,0
1430,mentioned,0
1432,their,0
1433,peculiar,0
1434,aroma,1
1435,rendering,0
1436,their,0
1437,use,0
1438,limited,0
1439,nan,0
1440,the,0
1441,herbal,0
1442,series,0
1443,comprises,0
1444,all,0
1445,aromatic,1
1446,plants,0
1448,such,0
1449,as,0
1450,lavender,1
1452,spike,0
1454,peppermint,0
1456,rosemary,0
1458,thyme,0
1460,marjoram,0
1462,geranium,1
1464,patchouly,0
1466,and,0
1467,wintergreen,0
1469,which,0
1470,yield,0
1471,essential,0
1472,oils,0
1473,by,0
1474,distillation,0
1475,nan,0
1476,i,0
1477,resolve,0
1479,for,0
1480,my,0
1481,own,0
1482,part,0
1484,always,0
1485,to,0
1486,pay,0
1487,a,0
1488,great,0
1489,regard,0
1490,to,0
1491,the,0
1492,dictates,0
1493,of,0
1494,common,0
1495,sense,0
1497,and,0
1498,not,0
1499,to,0
1500,depart,0
1501,from,0
1502,them,0
1503,without,0
1504,absolute,0
1505,necessity,0
1507,and,0
1508,therefore,0
1509,i,0
1510,am,0
1511,apt,0
1512,to,0
1513,think,0
1515,that,0
1516,there,0
1517,is,0
1518,really,0
1519,something,0
1520,in,0
1521,the,0
1522,rose,1
1523,or,0
1524,lily,1
1526,which,0
1527,is,0
1528,by,0
1529,the,0
1530,vulgar,0
1531,called,0
1532,smell,1
1534,and,0
1535,which,0
1536,continues,0
1537,to,0
1538,exist,0
1539,when,0
1540,it,0
1541,is,0
1542,not,0
1543,smelled,1
1545,and,0
1546,shall,0
1547,proceed,0
1548,to,0
1549,inquire,0
1550,what,0
1551,this,0
1552,is,0
1554,how,0
1555,we,0
1556,come,0
1557,by,0
1558,the,0
1559,notion,0
1560,of,0
1561,it,0
1563,and,0
1564,what,0
1565,relation,0
1566,this,0
1567,quality,0
1568,or,0
1569,virtue,0
1570,of,0
1571,smell,1
1572,hath,0
1573,to,0
1574,the,0
1575,sensation,0
1577,which,0
1578,we,0
1579,have,0
1580,been,0
1581,obliged,0
1582,to,0
1583,call,0
1584,by,0
1585,the,0
1586,same,0
1587,name,0
1589,for,0
1590,want,0
1591,of,0
1592,another,0
1593,nan,0
1594,but,0
1595,here,0
1596,it,0
1597,deserves,0
1598,our,0
1599,notice,0
1601,that,0
1602,although,0
1603,the,0
1604,sensation,0
1605,may,0
1606,seem,0
1607,more,0
1608,closely,0
1609,related,0
1610,to,0
1611,the,0
1612,mind,0
1613,its,0
1614,subject,0
1616,or,0
1617,to,0
1618,the,0
1619,nose,0
1620,its,0
1621,organ,0
1623,yet,0
1624,neither,0
1625,of,0
1626,these,0
1627,connections,0
1628,operate,0
1629,so,0
1630,powerfully,0
1631,upon,0
1632,the,0
1633,imagination,0
1635,as,0
1636,its,0
1637,connection,0
1638,with,0
1639,the,0
1640,rose,1
1641,its,0
1642,concomitant,0
1643,nan,0
1644,section,0
1645,ix,0
1646,that,0
1647,there,0
1648,is,0
1649,a,0
1650,principle,0
1651,in,0
1652,human,0
1653,nature,0
1655,from,0
1656,which,0
1657,the,0
1658,notion,0
1659,of,0
1660,this,0
1662,as,0
1663,well,0
1664,as,0
1665,all,0
1666,other,0
1667,natural,0
1668,virtues,0
1669,or,0
1670,causes,0
1672,is,0
1673,derived,0
1674,in,0
1675,order,0
1676,to,0
1677,illustrate,0
1678,further,0
1679,how,0
1680,we,0
1681,come,0
1682,to,0
1683,conceive,0
1684,a,0
1685,quality,0
1686,or,0
1687,virtue,0
1688,in,0
1689,the,0
1690,rose,1
1691,which,0
1692,we,0
1693,call,0
1694,smell,1
1696,and,0
1697,what,0
1698,this,0
1699,smell,1
1700,is,0
1702,it,0
1703,is,0
1704,proper,0
1705,to,0
1706,observe,0
1708,that,0
1709,the,0
1710,mind,0
1711,begins,0
1712,very,0
1713,early,0
1714,to,0
1715,thirst,0
1716,after,0
1717,principles,0
1719,which,0
1720,may,0
1721,direct,0
1722,it,0
1723,in,0
1724,the,0
1725,exertion,0
1726,of,0
1727,its,0
1728,powers,0
1729,nan,0
1730,the,0
1731,smell,1
1732,of,0
1733,a,0
1734,rose,1
1735,is,0
1736,a,0
1737,certain,0
1738,aff,0
1739,ection,0
1740,or,0
1741,feeling,0
1742,of,0
1743,the,0
1744,mind,0
1746,and,0
1747,as,0
1748,it,0
1749,is,0
1750,not,0
1751,constant,0
1753,but,0
1754,comes,0
1755,and,0
1756,goes,0
1758,we,0
1759,want,0
1760,to,0
1761,know,0
1762,when,0
1763,and,0
1764,where,0
1765,we,0
1766,may,0
1767,expect,0
1768,it,0
1770,and,0
1771,are,0
1772,uneasy,0
1773,till,0
1774,we,0
1775,find,0
1776,something,0
1778,which,0
1779,being,0
1780,present,0
1782,brings,0
1783,this,0
1784,feeling,0
1785,along,0
1786,with,0
1787,it,0
1789,and,0
1790,being,0
1791,removed,0
1793,removes,0
1794,it,0
1795,nan,0
1796,many,0
1797,turpentine,0
1798,balsams,0
1799,are,0
1800,of,0
1801,an,0
1802,aromatick,0
1803,smell,1
1805,as,0
1806,balsam,0
1807,de,0
1808,tolu,0
1810,balsam,0
1811,mechae,0
1813,balsam,0
1814,peruvian,0
1816,benjamin,0
1818,storax,0
1820,and,0
1821,many,0
1822,herbs,0
1824,as,0
1825,ladanum,0
1826,segetum,0
1828,and,0
1829,botrys,0
1831,which,0
1832,have,0
1833,a,0
1834,fragrant,1
1835,terebinthinate,0
1836,smell,1
1838,and,0
1839,so,0
1840,has,0
1841,juniper,0
1843,cedar,0
1845,and,0
1846,sassafras,0
1848,besides,0
1849,oyl,0
1850,of,0
1851,turpentine,0
1852,will,0
1853,easily,0
1854,extract,0
1855,these,0
1856,fragrant,1
1857,oyls,0
1858,from,0
1859,vegetables,0
1861,and,0
1862,is,0
1863,frequently,0
1864,mixt,0
1865,with,0
1866,them,0
1867,by,0
1868,sophistications,0
1870,whence,0
1871,i,0
1872,may,0
1873,argue,0
1875,that,0
1876,they,0
1877,differ,0
1878,only,0
1879,as,0
1880,turpentine,0
1881,is,0
1882,mixt,0
1883,with,0
1884,a,0
1885,latent,0
1886,acid,0
1888,and,0
1889,as,0
1890,the,0
1891,other,0
1892,are,0
1893,more,0
1894,pure,0
1895,from,0
1896,acid,0
1898,and,0
1899,therefore,0
1900,more,0
1901,aethereal,0
1902,or,0
1903,odoriferous,1
1905,the,0
1906,roots,0
1907,of,0
1908,valerian,0
1909,smell,1
1910,like,0
1911,turpentine,0
1913,and,0
1914,the,0
1915,flowers,1
1916,like,0
1917,jessamy,0
1918,a,0
1919,little,0
1920,dryed,0
1921,nan,0
1922,strong,0
1923,bitters,0
1924,aromatick,0
1926,as,0
1927,in,0
1928,wormwood,0
1929,and,0
1930,eupatorium,0
1931,cannabinum,0
1933,they,0
1934,work,0
1935,by,0
1936,their,0
1937,volatile,0
1938,oyl,0
1939,and,0
1940,salt,0
1941,on,0
1942,the,0
1943,blood,0
1945,and,0
1946,stomach,0
1948,whence,0
1949,they,0
1950,are,0
1951,accounted,0
1952,antidotes,0
1953,against,0
1954,coagulations,0
1956,venoms,0
1958,and,0
1959,pestilential,0
1960,infections,0
1961,nan,0
1962,the,0
1963,flowers,1
1964,of,0
1965,valerian,0
1966,are,0
1967,very,0
1968,strong,0
1970,and,0
1971,offensive,0
1972,at,0
1973,first,0
1974,getting,0
1976,after,0
1977,a,0
1978,little,0
1979,drying,0
1981,they,0
1982,are,0
1983,aromatick,0
1985,so,0
1986,in,0
1987,the,0
1988,preparations,0
1989,of,0
1990,musk,1
1991,and,0
1992,civet,0
1994,if,0
1995,in,0
1996,a,0
1997,great,0
1998,quantity,0
2000,or,0
2001,while,0
2002,fresh,0
2004,they,0
2005,stink,1
2007,afterwards,0
2009,in,0
2010,a,0
2011,small,0
2012,quantity,0
2014,they,0
2015,are,0
2016,more,0
2017,grateful,0
2019,so,0
2020,the,0
2021,leaves,0
2022,of,0
2023,coriander,0
2024,stink,1
2026,but,0
2027,the,0
2028,seed,0
2029,is,0
2030,aromatick,0
2031,nan,0
2032,elder-leaves,0
2033,are,0
2034,fetid,1
2036,yet,0
2037,the,0
2038,flowers,1
2039,are,0
2040,very,0
2041,fragrant,1
2043,so,0
2044,are,0
2045,the,0
2046,flowers,1
2047,of,0
2048,saponaria,0
2050,though,0
2051,the,0
2052,leaves,0
2053,resemble,0
2054,elder,0
2055,nan,0
2056,narcoticks,0
2057,have,0
2058,all,0
2059,of,0
2060,them,0
2061,an,0
2062,heavy,0
2063,offensive,0
2064,smell,1
2066,like,0
2067,poppies,0
2069,or,0
2070,solanum,0
2072,or,0
2073,have,0
2074,a,0
2075,sweet,0
2076,heady,0
2077,smell,1
2079,like,0
2080,roots,0
2081,of,0
2082,bears-ears,0
2083,nan,0
2084,that,0
2085,these,0
2086,palisad,0
2088,s,0
2089,be,0
2090,elegantly,0
2091,planted,0
2093,diligently,0
2094,kept,0
2095,and,0
2096,supply,0
2098,d,0
2100,with,0
2101,such,0
2102,shrubs,0
2104,as,0
2105,yield,0
2106,the,0
2107,most,0
2108,fragrant,1
2109,and,0
2110,odoriferous,1
2111,flowers,1
2113,and,0
2114,are,0
2115,aptest,0
2116,to,0
2117,tinge,0
2118,the,0
2119,aer,0
2120,upon,0
2121,every,0
2122,gentle,0
2123,emission,0
2124,at,0
2125,a,0
2126,great,0
2127,distance,0
2129,such,0
2130,as,0
2131,are,0
2132,(,0
2133,for,0
2134,instance,0
2135,amongst,0
2136,many,0
2137,others,0
2138,),0
2139,the,0
2140,sweet-brier,0
2142,all,0
2143,the,0
2144,periclymena,0
2146,s,0
2147,and,0
2148,woodbinds,0
2150,the,0
2151,common,0
2152,white,0
2153,and,0
2154,yellow,0
2155,iessamine,0
2157,both,0
2158,the,0
2159,syringa,0
2161,s,0
2162,or,0
2163,pipe,0
2164,trees,0
2166,the,0
2167,guelder-rose,0
2169,the,0
2170,musk,1
2172,and,0
2173,all,0
2174,other,0
2175,roses,0
2177,genista,0
2178,hispanica,0
2180,to,0
2181,these,0
2182,may,0
2183,be,0
2184,added,0
2185,the,0
2186,rubus,0
2187,odoratus,0
2189,bayes,0
2191,iuniper,0
2193,lignum-vitae,0
2195,laevander,0
2197,but,0
2198,above,0
2199,all,0
2201,rosemary,0
2203,the,0
2204,flowers,1
