Unnamed: 0,sentence,Smell Word,Flower,Flower Smell,Flower Quality
90,The oil distilled in Britain from the full-grown unripe green fruit of Juniperus communis nan ,0,0,0,0
91,"Colourless or pale greenish-yellow , with the characteristic odour of the fruit , and a warm aromatic taste nan ",1,0,0,0
92,Used in preparing Spiritius Juniperi nan ,0,0,0,0
93,Stimulant and diuretic nan ,0,0,0,0
94,OLEUM LAVANDULA nan ,0,0,0,0
95,Oil of Lavender nan ,0,1,0,0
96,Nat nan ,0,0,0,0
97,"Ord . , Labiate nan ",0,0,0,0
98,The oil distilled in Britain from the flowers of Lavandula vera nan ,0,1,1,0
99,"Pale yellow or nearly colourless , with the very fragrant odour of the flowers , and a hot bitter aromatic taste nan ",1,1,0,1
100,"Used in preparing Linimentum Camphorae Compositum Spiritus Lavandulae , and Tinctura Lavandulae Composita nan ",0,0,0,0
101,Stimulant carminative ; given as an adjunct to purgatives to relieve flatulence nan ,0,0,0,0
102,OLEUM LIMONIS nan ,0,0,0,0
103,Oil of Lemon nan ,0,0,0,0
104,A volatile oil obtained by mechanical means from fresh lemon peel nan ,0,0,0,0
105,"Pale yellow , with a very fragrant odour and a warm bitterish aromatic taste nan ",1,0,0,0
106,Used in preparing Linimentum Patassii Iodidi cum Sapone and Spirit Ammoniae Aromaticus nan ,0,0,0,0
107,OLEUM LINL Linseed Oil nan ,0,0,0,0
108,The oil expressed in Britain without heat from linseed nan ,0,0,0,0
109,"Viscid , yellow , with a faint odour , and bland oleaginous taste nan ",1,0,0,0
110,It gradually thickens by exposure to the air nan ,0,0,0,0
111,OLEUM MENTHAE PIPERITA nan ,0,0,0,0
112,Oil of Peppermint nan ,0,0,0,0
113,Nat nan ,0,0,0,0
114,"Ord . , Labiatae nan ",0,0,0,0
115,"The oil distilled in Britain from fresh flowering peppermint , Mentha piperita nan ",0,0,0,0
116,"Colourless , pale yellow , or greenish-yellow when recent , but becoming gradually thicker and reddish by age , with the odour of peppermint , and a strong penetrating aromatic taste , followed by a sensation of coldness in the mouth nan ",1,0,0,0
117,Contains Menthene and Menthol nan ,0,0,0,0
118,"Used in preparing Aqua Methae Piperitae , Essentia Menthae Piperitae , Pilula Rhei Composita , Spiritus Menthae Piperitae , and Tinctura Chloroformi et Morphinae nan ",0,0,0,0
119,Stimulant carminative ; adjunct to purgatives to relieve flatulence nan ,0,0,0,0
120,OLEUM MENTHA VIRIDIS nan ,0,0,0,0
121,Oil of Spearmint nan ,0,0,0,0
122,Nat nan ,0,0,0,0
123,"Ord . , Labiatee nan ",0,0,0,0
124,"The oil distilled in Britain from fresh flowering spearmint , Mentha viridis nan ",0,0,0,0
125,"Colourless , pale yellow , or greenish-yellow Vv ^ hen recent , but becoming reddish by age , with the odour and taste of the herb nan ",1,0,0,0
126,Used in preparing Aqua Menthae Viridis nan ,0,0,0,0
127,Given to disguise the taste of nauseous drugs nan ,0,0,0,0
128,OLEUM OLIVAE nan ,0,0,0,0
129,Olive Oil nan ,0,0,0,0
130,Nat nan ,0,0,0,0
131,"Ord . , Oleacacea nan ",0,0,0,0
132,The oil expressed from the ripe fruit of Olea europsea nan ,0,0,0,0
133,"Pale yellow or greenish-yellow , with a very faint agreeable odour and a bland oleaginous taste ; congeals partially at about Fahr . ( 2.2 ° C ) nan ",1,0,0,0
134,Contains Olein ( liquid ) and Margarine ( solid ) nan ,0,0,0,0
135,"Used in preparing Charta Epispastica , Cataplasma Lint , Enema Magaesii Sulphatis , and some plasters , liniments , and ointments nan ",0,0,0,0
136,OLEUM PHOSPHOEATUM nan ,0,0,0,0
137,Phospliorated Oil nan ,0,0,0,0
0,nan ,0,0,0,0
1,"Isop is reasonable long lasting : young roots are good set , slips better nan ",0,0,0,0
2,A good pot-hearbe nan ,0,1,1,0
3,"Iuly-flowers , commonly called Gilly-flowers , or Cloue-Iuly-flowers ( I call them so , because they flowre in Iuly ) they haue the name of Cloues , of their sent nan ",1,1,1,0
4,I may well call them the King of flowers ( except the Rose ) and the best sort of them are called Queene-Iuly flowers nan ,0,1,0,0
5,"I haue of them nine or ten seuerall colours , and diuers of them as big as Roses : of all flowers ( saue the Damaske Rose ) they are the most pleasant to sight and smell : they last not past three or foure yeeres vnremoued nan ",1,1,0,1
6,"Take the sl • ps ( without shanks ) aud set any time , saue in extreme frost , but especially at Michael tide nan ",0,0,0,0
7,"Their vse is much in ornament , and conforting the spirits , by the sence of smelling nan ",1,1,1,0
8,"Iuly flowers of the wall , or wall-Iuly-flowers wall-flowers , or Bee-flowers , or Winter-Iuly-flowers , because growing in the walles , euen in Winter , and good for Bees , will grow euen in stone walls , they will seeme dead in Summer , and yet reuiue in Winter nan ",0,1,1,0
9,"They yeeld seed plentifully , which you may sow at any time , or in any broken earth , especially on the top of a mud-wall , but moist , you may set the root before it be brancht , euery slip that is not flowr ' d will take root , or crop him in Summer , and he will flower in Winter : but his Winter-seed is vntimely nan ",0,0,0,0
10,"This and Palmes are exceeding good , and timely for Bees nan ",0,0,0,0
11,"Leekes yeeld seed the second yeere , vnremoued and die , vnlesse you remoue them , vsuall to eate with salt and bread , as Onyons alwaies greene , good pot-hearb , euill for the eyes nan ",0,0,0,0
12,"Lauendar Spike would be remoued within 7 yeeres , or eight at the most nan ",0,0,0,0
13,"Slips twined as Isop and Sage , would take best at Michael-tide nan ",0,1,1,0
14,"This flower is good for Bees , most comfortable for smelling , except Roses : and kept dry , is as strong after a yeere , and when it is gathered nan ",1,1,1,1
15,The water of this is comfortable nan ,0,0,0,0
16,White Lauendar would be remoued sooner nan ,0,0,0,0
17,"Lettice yeelds seed the first yeere , and dyes : sow betime , and if you would haue them Cabbage for Sallets , remoue them as you doe Cabbage nan ",0,0,0,0
18,"They are vsuall in Sallets , and the pot nan ",0,1,0,0
0,nan ,0,0,0,0
1,"It seems highly probable that , as has been especially emphasized by Hagen , perfumes were primitively used by women , not as is sometimes the case in civilization , with the idea of disguising any possible natural odor , but with the object of heightening and fortifying the natural odor nan ",1,0,0,0
2,"If the primitive man was inclined to disparage a woman whose odor was slight or imperceptible , — turning away from her with contempt , as the Polynesian turned away from the ladies of Sydney : nan ",1,0,0,0
3,"— women would inevitably seek to supplement any natural defects in this respect , and to accentuate their odorous qualities , in the same way as by corsets and bustles , even in civilization , they have sought to accentuate the sexual saliencies of their bodies nan ",1,0,0,0
4,"In this way we may , as Hagen suggests , explain the fact that until recent times the odors preferred by women have not been the most delicate or exquisite , but the strongest , the most animal , the most sexual : musk , castoreum , civet , and ambergris nan ",1,0,0,0
5,"In that interesting novel — dealing with the adventures of a Jewish maiden at the Persian court of Xerxes — which under the title of Esther has found its way into the Old Testament we are told that it was customary in the royal harem at Shushan to submit the women to a very prolonged course of perfuming before they were admitted to the king : _	_	_	_	_	_	
 six months with oil of myrrh and six months with sweet odors nan ",1,0,0,0
6,"{ Esther , Chapter II , v . 12 . nan ",0,0,0,0
7,In the Arabian Nights there are many allusions to the use of perfumes by women with a more or less definitely stated aphrodisiacal intent nan ,1,0,0,0
8,"Thus we read in the story of Kamaralzaman : _	_	_	_	_	_	
 With fine incense I will perfume my breasts , my belly , my whole body , so that my skin may melt more sweetly in thy mouth , O apple of my eye nan ",1,0,0,0
9,Even among savages the perfuming of the body is sometimes practiced with the object of inducing love in the partner nan ,1,0,0,0
10,Schellong states that the Papuans of Kaiser Wilhelm's Land rub various fragrant plants into their bodies for this purpose nan ,1,0,0,0
11,"{ Zeitschrift fur Ethnologic , 1899 , ht nan ",0,0,0,0
12,"i , p . 19 . nan ",0,0,0,0
13,"The significance of this practice is more fully revealed by Haddon when studying the Papuans of Torres Straits , among whom the initiative in courtship is taken by the women nan ",0,0,0,0
14,It was by scenting himself with a pungent odorous substance that a young man indicated that he was ready to be sued by the girls nan ,1,0,0,0
15,"A man would wear this scent at the back of his neck during a dance in order to attract the attention of a particular girl ; it was believed to act with magical certainty , after the manner of a charm ( Reports of the Cambridge Anthropological Expedition to Torres Straits , vol . v , pp . 211 , 222 , and 328 ) nan ",1,0,0,0
16,The perfume which is of all perfumes the most interesting from the present point of view is certainly musk nan ,1,0,0,0
17,"With ambergris , musk is the chief member of Linnseus ' s group of Odores ambrosiacce , a group which in sexual significances , as Zwaardemaker remarks , ranks besides the capryl group of odors nan ",1,0,0,0
18,It is a perfume of ancient origin ; its name is Persian 1 ( indicating doubtless the channel whence it reached Europe ) and ultimately derived from the Sanskrit word for testicle in allusion to the fact that it was contained in a pouch removed from the sexual parts of the male musk-deer nan ,1,0,0,0
19,"Musk odors , however , often of considerable strength , are very widely distributed in Nature , alike among animals and plants nan ",1,0,0,0
20,"This is indicated by the frequency with which the word _	_	_	_	_	_	
20-12	3467-3471	musk	_	_	_	_	_	_	
20-13	3471-3472 forms part of the names of animals and plants which are by no means always nearly related nan ",0,0,0,0
21,"We have the musk-ox , the musky mole , several species called musk-rat , the musk-duck , the muskbeetle ; while among plants which have received their names from a real or supposed musky odor are , besides several that are called musk-plant , the musk-rose , the musk-hyacinth , the musk-mallow , the musk-orchid , the musk-melon , the muskcherry , the musk-pear , the musk-plum , muskat and muscatels , musk-seed , musk-tree , musk-wood , etc . 2 But a musky odor is not merely widespread in Nature among plants and the lower animals , it is peculiarly associated with man nan ",1,1,1,0
22,"Incidentally we have already seen how it is regarded as characteristic of some races of man , especially the Chinese nan ",0,0,0,0
23,"Moreover , the smell of the negress is said to be musky in character , and among Europeans a musky odor is said to be characteristic of blondes nan ",1,0,0,0
24,"Laycock , in his Nervous Diseases of Women , stated his opinion that _	_	_	_	_	_	
 the musk odor is certainly the sexual odor of nan ",1,0,0,0
25,; and Fere states that the musk odor is that among natural perfumes most nearly approaching the odor of the sexual secretions nan ,1,0,0,0
26,"We have seen that the Chinese poet vaunts the musky odor of his mistress ' s armpits , while another Oriental saying concerning the attractive woman is that _	_	_	_	_	_	
 her navel is filled with musk nan ",1,0,0,0
27,"Persian literature contains many references to musk as an attractive body odor , and Firdusi speaks of a woman ' s hair as _	_	_	_	_	_	
 a crown of musk nan ",1,0,0,0
28,"while the Arabian poet Motannabi says of his mistress that _	_	_	_	_	_	
 her hyacinthine hair smells sweeter than Scythian musk nan ",1,0,0,0
29,Galopin stated that he knew women whose natural odor of musk ( and less frequently of ambergris ) was sufficiently strong to impart to a bath in less than an hour a perfume due entirely to the exhalations of the musky body ; it must be added that Galopin was an enthusiast in this matter nan ,1,0,0,0
30,"The special significance of musk from our present point of view lies not only in the fact that we here have a perfume , widely scattered throughout nature and often in an agreeable form , which is at the same time a very frequent personal odor in man nan ",1,0,0,0
31,"Musk is the odor which not only in the animals to which it has given a name , but in many others , is a specifically sexual odor , chiefly emitted during the sexual season nan ",1,0,0,0
32,"The sexual odors , indeed , of most animals seem to be modifications of musk nan ",1,0,0,0
33,The Sphinx moth has a musky odor which is confined to the male and is doubtless sexual nan ,1,0,0,0
34,Some lizards have a musky odor which is heightened at the sexual season ; crocodiles during the pairing season emit from their submaxillary glands a musky odor which pervades their haunts nan ,1,0,0,0
35,In the same way elephants emit a musky odor from their facial glands during the rutting season nan ,1,0,0,0
36,The odor of the musk-duck is chiefly confined to the breeding season . 1 The musky odor of the negress is said to be heightened during sexual excitement nan ,1,0,0,0
37,"The predominance of musk as a sexual odor is associated with the fact that its actual nervous influence , apart from the presence of sexual associations , is very considerable nan ",1,0,0,0
38,Fere found it to be a powerful muscular stimulant nan ,0,0,0,0
39,"In former times musk enjoyed a high reputation as a cardiac stimulant ; it fell into disuse , but in recent years its use in asthenic states has been revived , and excellent results , it has been claimed , have followed its administration in cases of collapse from Asiatic cholera nan ",0,0,0,0
40,"For sexual torpor in women it still has ( like vanilla and sandal ) a certain degree of reputation , though it is not often used , and some of the old Arabian physicians ( especially Avicenna ) recommended it , with castoreum and myrrh , for amenorrhoea nan ",0,0,0,0
41,"Its powerful action is indicated by the experience of Esquirol , who stated that he had seen cases in which sensory stimulation by musk in women during lactation had produced mania nan ",0,0,0,0
42,"It has always had the reputation , more especially in the Mohammedan East , of being a sexual stimulant to men ; _	_	_	_	_	_	
 the noblest of perfumes / ' it is called in El Ktab nan ",0,0,0,0
43,and that which most provokes to venery . nan ,0,0,0,0
44,"Not only is musk the most cherished perfume of the Islamic world , and the special favorite of the Prophet himself , who greatly delighted in perfumes ( _	_	_	_	_	_	
 I love your world nan ",1,0,0,0
45,"he is reported to have said in old age , _	_	_	_	_	_	
 for its women and its nan ",1,0,0,0
46,") , 1 it is the only perfume generally used by the women of a land in which the refinements of life have been carried so far as Japan , and they received it from the Chinese . 2 Moreover , musk is still the most popular of European perfumes nan ",1,0,0,0
47,"It is the perfumes containing musk , Piesse states in his well-known book on the Art of Perfumery , which sell best nan ",1,0,0,0
48,It is certainly TRUE that in its simple form the odor of musk is not nowadays highly considered in Europe nan ,1,0,0,0
49,This fact is connected with the ever-growing refinement in accordance with which the specific odors of the sexual regions in human beings tend to lose their primitive attractiveness and bodily odors generally become mingled with artificial perfumes and so disguised nan ,1,0,0,0
50,"But , although musk in its simple form , and under its ancient name , has lost its hold in Europe , it is an interesting and significant fact that it is still the perfumes which contains musk that are the most widely popular nan ",1,0,0,0
51,"Peau d ' Espagne may be mentioned as a highly complex and luxurious perfume , often the favorite scent of sensuous persons , which really owes a large part of its potency to the presence of the crude animal sexual odors of musk and civet nan ",1,0,0,0
52,"It consists of wash-leather steeped in ottos of neroli , rose , santal , lavender , verbena , bergamot , cloves , and cinnamon , subsequently smeared with civet and musk nan ",1,1,1,0
53,"It is said by some , probably with a certain degree of truth , that Peau d ' Espagne is of all perfumes that which most nearly approaches the odor of a woman ' s skin ; whether it also suggests the odor of leather is not so clear nan ",1,0,0,0
54,"There is , however , no doubt that the smell of leather has a curiously stimulating sexual influence on many men and women nan ",1,0,0,0
55,"It is an odor which seems to occupy an intermediate place between the natural body odors and the artificial perfumes for which it sometimes serves as a basis ; possibly it is to this fact that its occasional sexual influence is owing , for , as Ave have already seen , there is a tendency for sexual allurement to attach to odors which are not the specific personal body odors but yet are related to them nan ",1,0,0,0
56,"Moll considers , no doubt rightly , that shoe fetichism , perhaps the most frequent of sexual fetichistic perversions , is greatly favored , if , indeed , it does not owe its origin to , the associated odor of the feet and of the shoes nan ",1,0,0,0
57,"He narrates a case of shoe fetichism in a man in which the perversion began at the age of 6 , when for the first time he wore new shoes , having previously used only the left-off shoes of his elder brother ; he felt and smelt these new shoes with sensations of unmeasured pleasure ; and a few years later began to use shoes as a method of masturbation nan ",1,0,0,0
58,ISTacke has also recorded the case of a shoe fetichist who declared that the sexual attraction of shoes ( usually his wife ' s ) lay largely in the odor of the leather nan ,1,0,0,0
59,"Krafft-Ebing , again , brings forward a case of shoe fetichism in which the significant fact is mentioned that the subject bought a pair of leather cuffs to smell while masturbating nan ",1,0,0,0
60,"Eestif de la Bretonne , who was somewhat of a shoe fetichist , appears to have enjoyed smelling shoes nan ",1,0,0,0
61,"It is not probable that the odor of leather explains the whole of shoe fetichism , — as we shall see when , in another _	_	_	_	_	_	
56-27	11018-11023	Study	_	_	_	_	_	_	
56-28	11023-11024	,	_	_	_	_	_	_	
56-29	11024-11025 this question comes before us — and in many cases it cannot be said to enter at all ; it is , however , one of the factors nan ",1,0,0,0
62,Such a conclusion is further supported by the fact that by many the odor of new shoes is sometimes desired as an adjuvant to coitus nan ,1,0,0,0
63,It is in the experience of prostitutes that such a device is not in - frequent nan ,0,0,0,0
0,nan ,0,0,0,0
1,"VPon the top of your glasse bodie , straine a haire cloth , and vpon that lay good store of Roseleaues , either drie , or halfe drie , and so your water will ascend verie good both in smell and in colour nan ",1,0,0,0
2,"Distill either in balneo , or in a gentle fire in ashes , you may rei ¦ terate the same water vppon fresh leaues nan ",0,0,0,0
3,"This may also be done in a leaden Still , ouer which by reason of the breadth you may place more leaues . 19 nan ",0,0,0,0
4,An excellent wvy to make the extract of all Vegetables nan ,0,0,0,0
5,"EXpresse a good quantity of the iuice thereof , set it on the fire , and giue it onely a walme or two , then it will grow cleere : before it be cooled , pour away the cleerest , filter with a peece of cotton , and then euaporate your filtred iuyce , till it come to a thicke substance , and thus you shal haue a most excellent extracte of the Rose , Gilliflower , & c . with the perfect sent and taste of the flower , whereas the common waie is to make the extracte eyther by spirit of wine faire water , the water of the plant , or some kind of menstruum . 20 nan ",1,1,1,1
6,"To make a water smelling of the Eglantine , Gilliflowers , & c nan ",1,0,0,0
7,"DRie the hearbe or flower , and distill the same in faire water in a limbecke , draw no longer then you find sent in the water that issueth , reiterate that water vpon fresh herbes , and distil as before , diuiding the sweetest from the rest . 21 nan ",1,1,1,0
8,A Scottish hand water nan ,0,0,0,0
9,"PVt thyme , Lavender , and Rosemary confusedly together , then make a lay of thicke wine Lees in the bottom of a stone pot , vppon which make an other laye of the said hearbes , & then a lay of Lees , and so forwarde , lute the pot wel , bury it in the ground for 6 . weeks distill it , & it is called Dames water in Scotland nan ",0,1,0,0
10,A little therof put into a bason of a comon water ma ¦ keth very sweet washing water . 22 nan ,0,0,0,0
11,How to draw the bloud of hearbes nan ,0,0,0,0
12,"STampe the hearb , put the same into a large glasse , leauing two parts emptie ( some commend the iuice of the hearbe onely ) nip or else lute the glasse very wel , digest it in balneo . 15 . or 16 . daies , and you shall finde the same very red , diuide the watrish part , and that which remaineth is the bloud or essence of the hearb . 23 nan ",1,0,0,0
13,"Rosewater , and yet the Roseleaues not discoloured nan ",0,0,0,0
14,"YOu must distill in balneo , and when the bottom of your pewter Still is through hotte , put in a fewe leaues at once and distill them : watch your Still carefully , and as soone as those are distilled put in more nan ",0,0,0,0
15,"I know not whether your profit will requite your labour , yet accept of it as a newe conclusion . 24 nan ",0,0,0,0
16,"How to recouer Rosewater , or any other distilled water that hath gotten a mother , and is in daunger to be musty nan ",0,0,0,0
17,"INfuse your water vpon fresh Rose leaues , or vpon Rose cakes broken all in peeces , and then after maceration for three or foure houres with a gentle fire , redistill your water nan ",0,0,0,0
18,"Do this in a Limbeck , take heed of drawing too long for burning , vnlesse your Limbecke stand in balneo . 25 nan ",0,0,0,0
19,"To drawe both good Rosewater , and oyle of Roses together nan ",0,0,0,0
20,"AFter you haue digested your Rose leaues by the speace of 3 . moneths , sicut ante , num . 13 . eyther in barrels or hookers , then distill the with faire water in a limbeck , draw so long as you finde anie excellent smell of the Rose , then diuide the fatty oile that fleeteth on the top of the Rose water , and so you haue both excellent oile of Roses , and also good Rosewater togither , and you shall also haue more water then by the ordinarie way , and this Rosewater extendeth farther in physicall compositions , and the other serueth best for perfumes and casting bottles nan ",1,1,1,1
0,nan ,0,0,0,0
